"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Turdus merula","Eurasian Blackbird",0.4805,"A027",6
"Sturnus vulgaris","European Starling",0.1259,"A027",6
"Parus major","Great Tit",0.2696,"A027",6
"Phalacrocorax carbo","Great Cormorant",0.3007,"A027",6
"Emberiza citrinella","Yellowhammer",0.1103,"A027",6
"Milvus milvus","Red Kite",0.1201,"A027",6
"Curruca communis","Greater Whitethroat",0.1188,"A027",6
"Jynx torquilla","Eurasian Wryneck",0.14,"A027",6
"Sylvia borin","Garden Warbler",0.1148,"A027",6
"Lanius collurio","Red-backed Shrike",0.1119,"A027",6
"Sylvia atricapilla","Eurasian Blackcap",0.1563,"A027",6
"Hippolais polyglotta","Melodious Warbler",0.521,"A027",6
"Phoenicurus ochruros","Black Redstart",0.2278,"A027",6
"Motacilla cinerea","Gray Wagtail",0.1218,"A027",6
"Cyanistes caeruleus","Eurasian Blue Tit",0.2833,"A027",6
"Picus viridis","Eurasian Green Woodpecker",0.285,"A027",6
"Buteo buteo","Common Buzzard",0.1499,"A027",6
"Circus aeruginosus","Eurasian Marsh-Harrier",0.1254,"A027",6
"Lullula arborea","Wood Lark",0.154,"A027",6
"Gallinula chloropus","Eurasian Moorhen",0.1951,"A027",6
"Chlidonias niger","Black Tern",0.1076,"A027",6
"Charadrius hiaticula","Common Ringed Plover",0.1403,"A027",6
"Phylloscopus trochilus","Willow Warbler",0.1075,"A027",6
"Corvus corone","Carrion Crow",0.2699,"A027",6
"Turdus viscivorus","Mistle Thrush",0.1172,"A027",6
"Dendrocopos major","Great Spotted Woodpecker",0.1077,"A027",6
"Oriolus oriolus","Eurasian Golden Oriole",0.1387,"A027",6
"Numenius arquata","Eurasian Curlew",0.1011,"A027",6
"Phylloscopus collybita","Common Chiffchaff",0.647,"A027",6
"Phoenicurus phoenicurus","Common Redstart",0.1001,"A027",6
"Motacilla alba","White Wagtail",0.1147,"A027",6
"Carduelis carduelis","European Goldfinch",0.123,"A027",6
"Certhia brachydactyla","Short-toed Treecreeper",0.1221,"A027",6
"Anas platyrhynchos","Mallard",0.3931,"A027",6
"Mareca strepera","Gadwall",0.1116,"A027",6
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.1122,"A027",6
"Streptopelia turtur","European Turtle-Dove",0.1599,"A027",6
"Turdus pilaris","Fieldfare",0.115,"A027",6
"Tringa ochropus","Green Sandpiper",0.157,"A027",6
"Charadrius dubius","Little Ringed Plover",0.2128,"A027",6
"Falco tinnunculus","Eurasian Kestrel",0.2628,"A027",6
"Turdus philomelos","Song Thrush",0.1895,"A027",6
"Branta canadensis","Canada Goose",0.1139,"A027",6
"Emberiza calandra","Corn Bunting",0.1894,"A027",6
"Locustella naevia","Common Grasshopper-Warbler",0.1875,"A027",6
"Fulica atra","Eurasian Coot",0.1041,"A027",6
"Erithacus rubecula","European Robin",0.1784,"A027",6
"Corvus frugilegus","Rook",0.4851,"A027",6
"Regulus ignicapilla","Common Firecrest",0.1589,"A027",6
"Aegithalos caudatus","Long-tailed Tit",0.4423,"A027",6
"Curruca curruca","Lesser Whitethroat",0.1085,"A027",6
"Certhia familiaris","Eurasian Treecreeper",0.3766,"A027",6
"Troglodytes troglodytes","Eurasian Wren",0.7206,"A027",6
"Anthus trivialis","Tree Pipit",0.1051,"A027",6
"Columba palumbus","Common Wood-Pigeon",0.1336,"A027",6
"Motacilla flava","Western Yellow Wagtail",0.1244,"A027",6
"Muscicapa striata","Spotted Flycatcher",0.1136,"A027",6
"Ardea cinerea","Gray Heron",0.2578,"A027",6
"Columba oenas","Stock Dove",0.1078,"A027",6
"Prunella modularis","Dunnock",0.1003,"A027",6
"Pica pica","Eurasian Magpie",0.1337,"A027",6
"Saxicola rubetra","Whinchat",0.2134,"A027",6
"Chloris chloris","European Greenfinch",0.2088,"A027",6
"Anthus pratensis","Meadow Pipit",0.2285,"A027",6
"Dendrocoptes medius","Middle Spotted Woodpecker",0.195,"A027",6
"Sitta europaea","Eurasian Nuthatch",0.1241,"A027",6
"Regulus regulus","Goldcrest",0.1503,"A027",6
"Saxicola rubicola","European Stonechat",0.1415,"A027",6
"Emberiza schoeniclus","Reed Bunting",0.115,"A027",6
"Poecile palustris","Marsh Tit",0.1254,"A027",6
"Luscinia megarhynchos","Common Nightingale",0.1523,"A027",6
"Acrocephalus palustris","Marsh Warbler",0.1073,"A027",6
"Periparus ater","Coal Tit",0.1633,"A027",6
"Streptopelia decaocto","Eurasian Collared-Dove",0.2433,"A027",6
"Fringilla coelebs","Common Chaffinch",0.1425,"A027",6
"Rallus aquaticus","Water Rail",0.1056,"A027",6
"Hirundo rustica","Barn Swallow",0.1143,"A027",6
"Alauda arvensis","Eurasian Skylark",0.1095,"A027",6
"Lophophanes cristatus","Crested Tit",0.1112,"A027",6
"Tringa totanus","Common Redshank",0.112,"A027",6
"Tringa nebularia","Common Greenshank",0.1238,"A027",6
"Cygnus olor","Mute Swan",0.2082,"A027",6
"Linaria cannabina","Eurasian Linnet",0.7107,"A027",6
"Cettia cetti","Cetti's Warbler",0.167,"A027",6
"Ciconia ciconia","White Stork",0.1701,"A027",6
"Grus grus","Common Crane",0.1256,"A027",6
"Anas crecca","Green-winged Teal",0.2862,"A027",6
